LIST_NUM;LIST_NAME;CAND_NUM;CAND_NAME;CAND_PICTURE
4;STF SÜDTIROLER FREIHEIT;5;Meister Karin;5-Karin-Meister.jpg
4;STF SÜDTIROLER FREIHEIT;6;Pixner Benjamin;6-Benjamin-Pixner.jpg
4;STF SÜDTIROLER FREIHEIT;7;Gasser Jonas;7-Jonas-Gasser.jpg
4;STF SÜDTIROLER FREIHEIT;8;Campidell Reinhild;8-Reinhild-Campidell.jpg
4;STF SÜDTIROLER FREIHEIT;9;Tutzer Andreas Markus;9-Andreas-Tutzer.jpg
4;STF SÜDTIROLER FREIHEIT;10; Malfertheiner Aaron;10-Aaron-Malfertheiner.jpg
4;STF SÜDTIROLER FREIHEIT;11;P�hl Hofer Eva;11-Eva-Pohl-Hofer.jpg
4;STF SÜDTIROLER FREIHEIT;12;Straudi Werner (Bobby);12-Werner-Straudi.jpg
4;STF SÜDTIROLER FREIHEIT;13;Brachetti Peter;13-Peter-Brachetti.jpg
4;STF SÜDTIROLER FREIHEIT;14;Reichhalter Cindy;14-Cindy-Reichhalter.jpg
4;STF SÜDTIROLER FREIHEIT;15;Unterberger Stefan;15-Stefan-Unterberger.jpg
4;STF SÜDTIROLER FREIHEIT;16;Sottsas Andreas;16-Andreas-Sottsas.jpg
4;STF SÜDTIROLER FREIHEIT;17;Oberkofler Berger Maria;17-Maria-Oberkofler-Berger.jpg
4;STF SÜDTIROLER FREIHEIT;18;Lang Norbert;18-Norbert-Lang.jpg
4;STF SÜDTIROLER FREIHEIT;19;Platter Erwin;19-Erwin-Platter.jpg
4;STF SÜDTIROLER FREIHEIT;20; Tappeiner Esther;20-Esther-Tappeiner.jpg
4;STF SÜDTIROLER FREIHEIT;21;Franz Thomas;21-Thomas-Franz.jpg
4;STF SÜDTIROLER FREIHEIT;22;Hilber Bernhard;22-Bernhard-Hilber.jpg
4;STF SÜDTIROLER FREIHEIT;23;Seeber Reichegger Birgit;23-Birgit-Seeber-Reichegger.jpg
4;STF SÜDTIROLER FREIHEIT;24;Andreaus Thomas;24-Thomas-Andreaus.jpg
4;STF SÜDTIROLER FREIHEIT;25;Kirchler Reinhard;25-Reinhard-Kirchler.jpg
4;STF SÜDTIROLER FREIHEIT;26;Tammerle Trocker Stefanie;26-Stefanie-Tammerle-Trocker.jpg
4;STF SÜDTIROLER FREIHEIT;27;Pirhofer Stefan;27-Stefan-Pirhofer.jpg
4;STF SÜDTIROLER FREIHEIT;28;Unterfrauner Konrad;28-Konrad-Unterfrauner.jpg
4;STF SÜDTIROLER FREIHEIT;29;Renner Veronika;29-Veronika-Renner.jpg
4;STF SÜDTIROLER FREIHEIT;30;30. Steinkasserer Laner Walburga;30-Walburga-Laner-Steinkasserer.jpg
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;1;Repetto Sandro;1 Sandro Repetto.jpg
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;2;Zanotti Sonia;2 Sonia Zanotti.jpg
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;3;Cal� Pietro (Peter);3 Pietro (Peter) Calo.jpg
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;4;Prader Costa Renate;4 Renate Prader Costa.jpg
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;5;Pisciali Andrea;5 Andrea Pisciali.jpg
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;6;Rossi Saretto Daniela;6 Daniela Rossi Saretto.JPG
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;7;Diaby Bassamba;7 Bassamba Diaby.jpg
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;8;Bonomini Monica;8 Monica Bonomini.jpg
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;9;Sgarbossa Stefano;9 Stefano Sgarbossa.jpg
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;10;Paris Elena;10 Elena Paris.jpg
