MUNI_NUM;MUNI_DESC_I;MUNI_DESC_D;MUNI_DESC_L;MUNI_SECT;MUNI_SECP;MUNI_BLANK;MUNI_NULLS;LIST_NUM;LIST_NAME;LIST_VOTES
021006;BADIA;ABTEI;BADIA;3;3;32;56;4;STF SÜDTIROLER FREIHEIT;81
021006;BADIA;ABTEI;BADIA;3;3;32;56;5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;12
021006;BADIA;ABTEI;BADIA;3;3;32;56;6;VERDI GRÜNE VËRC;98
021006;BADIA;ABTEI;BADIA;3;3;32;56;7;FRATELLI D’ITALIA;45
021006;BADIA;ABTEI;BADIA;3;3;32;56;8;LA CIVICA;2
021006;BADIA;ABTEI;BADIA;3;3;32;56;9;JWA - WIRTH ANDERLAN;64
021006;BADIA;ABTEI;BADIA;3;3;32;56;10;DIE FREIHEITLICHEN;47
021006;BADIA;ABTEI;BADIA;3;3;32;56;11;FORZA ITALIA;2
021006;BADIA;ABTEI;BADIA;3;3;32;56;12;VITA;51
021006;BADIA;ABTEI;BADIA;3;3;32;56;13;CENTRO DESTRA;2
021006;BADIA;ABTEI;BADIA;3;3;32;56;14;SVP SÜDTIROLER VOLKSPARTEI;1173
021006;BADIA;ABTEI;BADIA;3;3;32;56;15;LEGA SALVINI ALTO ADIGE SÜDTIROL - UNITI PER L’ALTO ADIGE;31
021006;BADIA;ABTEI;BADIA;3;3;32;56;16;FÜR SÜDTIROL MIT WIDMANN;110
021007;BARBIANO;BARBIAN;PÈRBIAN;2;2;17;21;1;TEAM K;150
021007;BARBIANO;BARBIAN;PÈRBIAN;2;2;17;21;2;MOVIMENTO 5 STELLE;2
021007;BARBIANO;BARBIAN;PÈRBIAN;2;2;17;21;3;ENZIAN;9
021007;BARBIANO;BARBIAN;PÈRBIAN;2;2;17;21;4;STF SÜDTIROLER FREIHEIT;183
021007;BARBIANO;BARBIAN;PÈRBIAN;2;2;17;21;5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;3
021007;BARBIANO;BARBIAN;PÈRBIAN;2;2;17;21;6;VERDI GRÜNE VËRC;62
021007;BARBIANO;BARBIAN;PÈRBIAN;2;2;17;21;7;FRATELLI D’ITALIA;9
021007;BARBIANO;BARBIAN;PÈRBIAN;2;2;17;21;8;LA CIVICA;1
021007;BARBIANO;BARBIAN;PÈRBIAN;2;2;17;21;9;JWA - WIRTH ANDERLAN;70
021007;BARBIANO;BARBIAN;PÈRBIAN;2;2;17;21;10;DIE FREIHEITLICHEN;50
