"Istat Comune";"Nome Comune";"Sez.Pervenute";"Sez.Totali";"Schede Bianche";"Schede nulle o contenenti solo voti nulli";"Schede contestate e non attribuite";"Progressivo Sindaco";"Sindaco Id";"Cognome";"Nome";"Nome Detto";"Vedova";"Voti";
"022035";"Calliano";0;2;0;0;0;1;2212;"CONCI";"LORENZO";"";N;0;
"022035";"Calliano";0;2;0;0;0;2;2196;"BATTISTI";"STEFANO";"";N;0;
"022036";"Campitello di Fassa/Ciampedel";0;1;0;0;0;1;2223;"SOMMAVILLA";"STEFANO";"";N;0;
"022036";"Campitello di Fassa/Ciampedel";0;1;0;0;0;2;2222;"MANFROI";"SERENELLA";"";N;0;
"022036";"Campitello di Fassa/Ciampedel";0;1;0;0;0;3;2221;"BERNARD";"IVO";"";N;0;
"022037";"Campodenno";0;1;0;0;0;1;2330;"BIADA";"DANIELE";"";N;0;
"022037";"Campodenno";0;1;0;0;0;2;2331;"PANIZZA";"FRANCO";"";N;0;
"022038";"Canal San Bovo";0;3;0;0;0;1;2202;"RATTIN";"BORTOLO";"";N;0;
"022039";"Canazei/Cianacei";0;2;0;0;0;1;2104;"BERNARD";"GIOVANNI";"";N;0;
"022040";"Capriana";0;1;0;0;0;1;2091;"PEDOT";"SANDRO";"";N;0;
"022042";"Carisolo";0;1;0;0;0;1;2046;"POVINELLI";"ARTURO";"";N;0;
"022043";"Carzano";0;1;0;0;0;1;2075;"TRENTINAGLIA";"NICOLETTA";"";N;0;
"022043";"Carzano";0;1;0;0;0;2;2014;"BUFFA";"CARLO";"";N;0;
"022045";"Castel Condino";0;1;0;0;0;1;2178;"BAGOZZI";"STEFANO";"";N;0;
"022240";"Castel Ivano";0;4;0;0;0;1;2269;"VESCO";"ALBERTO";"";N;0;
"022240";"Castel Ivano";0;4;0;0;0;2;2270;"FLORIANI";"ARMANDO";"";N;0;
"022048";"Castello Tesino";0;2;0;0;0;1;2100;"ZAMPIERO";"PAOLO";"";N;0;
"022048";"Castello Tesino";0;2;0;0;0;2;2099;"MENATO";"GRAZIELLA";"Podestà";N;0;
"022047";"Castello-Molina di Fiemme";0;2;0;0;0;1;2018;"LARGER";"MARCO";"";N;0;
"022049";"Castelnuovo";0;1;0;0;0;1;2052;"CEPPINATI";"CLAUDIO";"";N;0;
"022049";"Castelnuovo";0;1;0;0;0;2;2053;"LORENZIN";"IVANO";"";N;0;
