"Istat Comune";"Nome Comune";"Sez.Pervenute";"Sez.Totali";"Schede Bianche";"Schede nulle o contenenti solo voti nulli";"Schede contestate e non attribuite";"Progressivo Sindaco";"Sindaco Id";"Cognome";"Nome";"Nome Detto";"Vedova";"Voti";
"022210";"Vallarsa";0;2;0;0;0;1;2297;"PLAZZER";"MASSIMO";"";N;0;
"022210";"Vallarsa";0;2;0;0;0;2;2300;"COSTA";"LUCA";"";N;0;
"022248";"Vallelaghi";0;7;0;0;0;1;2207;"MIORI";"LORENZO";"";N;0;
"022248";"Vallelaghi";0;7;0;0;0;2;2206;"FRANCESCHINI";"ROBERTO";"";N;0;
"022248";"Vallelaghi";0;7;0;0;0;3;2208;"SOMMADOSSI";"FEDERICO";"";N;0;
"022213";"Vermiglio";0;2;0;0;0;1;2329;"BERTOLINI";"MICHELE";"";N;0;
"022216";"Vignola Falesina";0;1;0;0;0;1;2317;"ANDERLE";"DANILO";"";N;0;
"022216";"Vignola Falesina";0;1;0;0;0;2;2318;"GADLER";"MIRKO";"";N;0;
"022222";"Villa Lagarina";0;4;0;0;0;1;2074;"GIORDANI";"JULKA";"";N;0;
"022222";"Villa Lagarina";0;4;0;0;0;2;2067;"ZANDONAI";"ENRICA";"";N;0;
"022249";"Ville d'Anaunia";0;5;0;0;0;1;2176;"VALENTINI";"SAMUEL";"";N;0;
"022254";"Ville di Fiemme";0;3;0;0;0;1;2337;"BONELLI";"ROBERTO";"Bastian";N;0;
"022254";"Ville di Fiemme";0;3;0;0;0;2;2338;"GIANMOENA";"PARIDE";"";N;0;
"022224";"Volano";0;2;0;0;0;1;2080;"PROSS";"LUIGI";"";N;0;
"022224";"Volano";0;2;0;0;0;2;2047;"FURLINI";"MARIA ALESSANDRA";"";N;0;
"022224";"Volano";0;2;0;0;0;3;2041;"VOLANI";"EMANUELE";"";N;0;
"022226";"Ziano di Fiemme";0;1;0;0;0;1;2224;"DEFLORIAN";"MARIA CHIARA";"";N;0;
