"Istat Comune";"Nome Comune";"Sez.Pervenute";"Sez.Totali";"ElettoriM";"ElettoriF";"ElettoriT";"VotantiM";"VotantiF";"VotantiT";
"022169";"Sanzeno";0;1;407;395;802;0;0;0;
"022170";"Sarnonico";0;1;336;317;653;0;0;0;
"022171";"Scurelle";0;1;571;601;1172;0;0;0;
"022172";"Segonzano";0;1;678;668;1346;0;0;0;
"022246";"Sella Giudicarie";0;4;1342;1324;2666;0;0;0;
"022173";"Sfruz";0;1;155;145;300;0;0;0;
"022176";"Soraga di Fassa/Soraga";0;1;287;267;554;0;0;0;
"022177";"Sover";0;1;421;380;801;0;0;0;
"022179";"Spiazzo";0;1;524;560;1084;0;0;0;
"022180";"Spormaggiore";0;1;610;600;1210;0;0;0;
"022181";"Sporminore";0;1;365;351;716;0;0;0;
"022182";"Stenico";0;1;640;597;1237;0;0;0;
"022183";"Storo";0;4;0;0;0;0;0;0;
"022184";"Strembo";0;1;238;250;488;0;0;0;
"022188";"Telve";0;2;965;1026;1991;0;0;0;
"022189";"Telve di Sopra";0;1;323;302;625;0;0;0;
"022190";"Tenna";0;1;506;511;1017;0;0;0;
"022195";"Terzolas";0;1;250;280;530;0;0;0;
"022196";"Tesero";0;2;1219;1224;2443;0;0;0;
"022200";"Ton";0;1;0;0;0;0;0;0;
"022202";"Torcegno";0;1;397;382;779;0;0;0;
"022203";"Trambileno";0;2;661;659;1320;0;0;0;
"022247";"Tre Ville";0;4;633;633;1266;0;0;0;
"022205";"Trento";0;98;47484;51646;99130;0;0;0;
"022232";"Valdaone";0;3;584;534;1118;0;0;0;
"022209";"Valfloriana";0;1;243;249;492;0;0;0;
"022210";"Vallarsa";0;2;824;763;1587;0;0;0;
"022248";"Vallelaghi";0;7;2278;2213;4491;0;0;0;
"022213";"Vermiglio";0;2;859;939;1798;0;0;0;
"022216";"Vignola Falesina";0;1;85;69;154;0;0;0;
"022222";"Villa Lagarina";0;4;0;0;0;0;0;0;
"022249";"Ville d'Anaunia";0;5;2132;2140;4272;0;0;0;
"022254";"Ville di Fiemme";0;3;1077;1106;2183;0;0;0;
"022224";"Volano";0;2;1278;1284;2562;0;0;0;
"022226";"Ziano di Fiemme";0;1;0;0;0;0;0;0;
