"Istat Comune";"Nome Comune";"Sez.Pervenute";"Sez.Totali";"ElettoriM";"ElettoriF";"ElettoriT";"VotantiM";"VotantiF";"VotantiT";
"022052";"Cavedago";1;1;245;242;487;168;149;317;
"022053";"Cavedine";2;2;1282;1264;2546;802;778;1580;
"022054";"Cavizzana";1;1;100;113;213;77;83;160;
"022241";"Cembra Lisignago";3;3;955;952;1907;673;627;1300;
"022058";"Cimone";1;1;285;270;555;221;215;436;
"022059";"Cinte Tesino";1;1;167;182;349;108;116;224;
"022060";"Cis";1;1;157;151;308;104;100;204;
"022061";"Civezzano";3;3;1637;1630;3267;1117;1091;2208;
"022062";"Cles";6;6;2611;2813;5424;1782;1846;3628;
"022063";"Cloz";1;1;285;259;544;187;169;356;
"022228";"Comano Terme";3;3;1118;1122;2240;732;737;1469;
"022064";"Commezzadura";1;1;407;408;815;273;259;532;
"022242";"Contà";3;3;608;603;1211;437;420;857;
"022068";"Croviana";1;1;259;260;519;192;180;372;
"022070";"Daiano";1;1;285;279;564;173;149;322;
"022071";"Dambel";1;1;192;172;364;126;102;228;
"022074";"Denno";1;1;482;482;964;350;344;694;
"022233";"Dimaro Folgarida";2;2;844;881;1725;584;574;1158;
"022078";"Drena";1;1;249;243;492;168;150;318;
"022079";"Dro";4;4;1908;1969;3877;1224;1186;2410;
"022080";"Faedo";1;1;265;260;525;197;179;376;
"022081";"Fai della Paganella";1;1;376;391;767;246;225;471;
"022083";"Fiavè";1;1;441;423;864;311;278;589;
"022085";"Fierozzo/Vlarötz";2;2;203;185;388;153;144;297;
"022087";"Folgaria";6;6;1368;1391;2759;913;888;1801;
"022088";"Fondo";1;1;551;575;1126;345;327;672;
"022089";"Fornace";1;1;524;501;1025;374;349;723;
"022090";"Frassilongo/Garait";1;1;151;146;297;111;105;216;
"022091";"Garniga Terme";1;1;172;158;330;131;112;243;
"022092";"Giovo";3;3;1044;1041;2085;769;740;1509;
"022093";"Giustino";1;1;289;317;606;196;204;400;
"022095";"Grigno";2;2;957;1009;1966;575;531;1106;
"022097";"Imer";1;1;523;525;1048;322;306;628;
"022098";"Isera";2;2;1076;1069;2145;715;731;1446;
"022102";"Lavarone";1;1;513;518;1031;307;284;591;
"022103";"Lavis";6;6;3393;3455;6848;2287;2296;4583;
"022229";"Ledro";7;7;2140;2256;4396;1351;1309;2660;
"022104";"Levico Terme";6;6;3128;3160;6288;1965;1960;3925;
"022106";"Livo";1;1;355;327;682;261;206;467;
"022108";"Lona-Lases";1;1;316;309;625;228;210;438;
"022109";"Luserna/Lusern";1;1;118;131;249;70;73;143;
"022243";"Madruzzo";4;4;1126;1131;2257;799;765;1564;
"022110";"Malé";3;3;831;897;1728;530;526;1056;
"022111";"Malosco";1;1;157;151;308;124;98;222;
"022112";"Massimeno";1;1;75;67;142;42;36;78;
"022113";"Mazzin/Mazin";1;1;221;219;440;140;142;282;
"022114";"Mezzana";1;1;378;367;745;244;230;474;
"022115";"Mezzano";2;2;689;704;1393;427;421;848;
"022116";"Mezzocorona";4;4;1972;2097;4069;1401;1407;2808;
"022117";"Mezzolombardo";5;5;2650;2751;5401;1674;1704;3378;
"022118";"Moena/Moena";2;2;1073;1104;2177;622;633;1255;
"022120";"Molveno";1;1;447;489;936;284;321;605;
"022123";"Mori";9;9;3819;3934;7753;2506;2574;5080;
"022124";"Nago-Torbole";2;2;1086;1098;2184;646;641;1287;
"022126";"Nave San Rocco";1;1;539;529;1068;374;362;736;
"022127";"Nogaredo";2;2;864;824;1688;574;526;1100;
"022128";"Nomi";1;1;516;570;1086;361;369;730;
"022129";"Novaledo";1;1;421;441;862;290;290;580;
"022130";"Ospedaletto";1;1;349;331;680;243;218;461;
"022131";"Ossana";1;1;329;350;679;239;248;487;
"022133";"Palù del Fersina/Palae en Bersntol";1;1;98;88;186;61;52;113;
"022134";"Panchià";1;1;340;341;681;205;201;406;
"022136";"Peio";3;3;831;752;1583;547;458;1005;
"022137";"Pellizzano";2;2;333;343;676;233;217;450;
"022138";"Pelugo";1;1;144;156;300;100;107;207;
"022139";"Pergine Valsugana";21;21;8049;8544;16593;5264;5509;10773;
"022234";"Pieve di Bono-Prezzo";2;2;620;624;1244;406;393;799;
"022142";"Pieve Tesino";1;1;283;300;583;203;194;397;
"022143";"Pinzolo";4;4;1225;1259;2484;870;850;1720;
"022144";"Pomarolo";2;2;1016;976;1992;704;680;1384;
"022244";"Porte di Rendena";2;2;686;698;1384;435;420;855;
"022230";"Predaia";7;7;2567;2593;5160;1765;1632;3397;
"022147";"Predazzo";3;3;1782;1854;3636;980;1044;2024;
"022245";"Primiero San Martino di Castrozza";6;6;2263;2350;4613;1352;1309;2661;
"022150";"Rabbi";1;1;618;605;1223;439;404;843;
"022152";"Revò";2;2;597;573;1170;361;328;689;
"022153";"Riva del Garda";13;13;6462;6891;13353;3598;3721;7319;
"022154";"Romallo";1;1;266;254;520;177;157;334;
"022155";"Romeno";1;1;594;578;1172;422;378;800;
"022156";"Roncegno Terme";3;3;1211;1267;2478;761;760;1521;
"022157";"Ronchi Valsugana";1;1;204;186;390;131;124;255;
"022135";"Ronzo-Chienis";1;1;438;381;819;302;242;544;
"022159";"Ronzone";1;1;175;163;338;116;107;223;
"022160";"Roverè della Luna";2;2;616;612;1228;410;392;802;
"022161";"Rovereto";32;32;14614;16219;30833;8819;9703;18522;
"022162";"Ruffrè-Mendola";1;1;181;173;354;121;112;233;
"022163";"Rumo";1;1;376;340;716;232;223;455;
"022164";"Sagron Mis";1;1;91;98;189;52;56;108;
"022165";"Samone";1;1;245;233;478;170;159;329;
"022231";"San Lorenzo Dorsino";2;2;672;698;1370;430;408;838;
"022167";"San Michele all'Adige";2;2;1164;1141;2305;736;716;1452;
"022168";"Sant'Orsola Terme";2;2;485;437;922;342;290;632;
"022169";"Sanzeno";1;1;379;387;766;236;261;497;
"022170";"Sarnonico";1;1;312;292;604;212;199;411;
"022171";"Scurelle";1;1;548;599;1147;367;390;757;
"022172";"Segonzano";1;1;567;583;1150;403;386;789;
"022246";"Sella Giudicarie";4;4;1281;1253;2534;868;829;1697;
"022250";"Sèn Jan di Fassa/Sèn Jan";3;3;1327;1362;2689;849;826;1675;
"022173";"Sfruz";1;1;141;139;280;103;89;192;
"022176";"Soraga/Soraga";1;1;285;261;546;198;179;377;
"022177";"Sover";1;1;385;350;735;260;233;493;
"022179";"Spiazzo";1;1;462;502;964;300;308;608;
"022180";"Spormaggiore";1;1;594;561;1155;387;322;709;
"022181";"Sporminore";1;1;301;304;605;228;215;443;
"022182";"Stenico";1;1;572;539;1111;335;296;631;
"022183";"Storo";4;4;1820;1882;3702;1077;1092;2169;
"022184";"Strembo";1;1;209;230;439;136;136;272;
"022188";"Telve";2;2;824;874;1698;550;568;1118;
"022189";"Telve di Sopra";1;1;285;257;542;183;184;367;
"022190";"Tenna";1;1;416;449;865;294;317;611;
"022191";"Tenno";2;2;792;820;1612;467;456;923;
"022193";"Terragnolo";1;1;348;342;690;212;171;383;
"022195";"Terzolas";1;1;243;263;506;188;205;393;
"022196";"Tesero";2;2;1133;1171;2304;685;696;1381;
"022199";"Tione di Trento";4;4;1316;1442;2758;853;934;1787;
"022200";"Ton";1;1;568;500;1068;384;317;701;
"022202";"Torcegno";1;1;297;299;596;215;208;423;
"022203";"Trambileno";2;2;625;613;1238;391;388;779;
"022247";"Tre Ville";4;4;614;631;1245;407;410;817;
"022205";"Trento";98;98;43093;47522;90615;28031;30665;58696;
"022232";"Valdaone";3;3;546;493;1039;372;335;707;
"022209";"Valfloriana";1;1;222;212;434;139;135;274;
"022210";"Vallarsa";2;2;661;616;1277;413;344;757;
"022248";"Vallelaghi";7;7;2034;1983;4017;1439;1426;2865;
"022211";"Varena";1;1;342;348;690;211;211;422;
"022213";"Vermiglio";2;2;770;818;1588;499;510;1009;
"022216";"Vignola-Falesina";1;1;75;58;133;52;41;93;
"022222";"Villa Lagarina";4;4;1495;1519;3014;1023;1043;2066;
"022249";"Ville d'Anaunia";5;5;1910;2005;3915;1322;1293;2615;
"022224";"Volano";2;2;1202;1221;2423;823;834;1657;
"022225";"Zambana";2;2;676;676;1352;439;428;867;
"022226";"Ziano di Fiemme";1;1;679;731;1410;385;405;790;
